id, radius, time
160, 13,10.982541799545288
197, 13,14.897126913070679
183, 8,12.263327360153198
240, 8,13.229431629180908
162, 8,10.717084646224976
244, 15,11.447102546691895
247, 15,14.126899242401123
196, 5,10.715057373046875
242, 14,10.776391506195068
143, 11,10.946176767349243
205, 11,10.000134706497192
195, 7,13.238840579986572
237, 8,10.000134706497192
246, 6,11.811421155929565
245, 10,10.624302864074707
182, 6,14.091145277023315
241, 6,11.742825746536255
154, 14,11.02737021446228
194, 15,10.037643432617188
243, 6,10.813682317733765
224, 12,13.662528276443481
91, 7,10.804542779922485
104, 11,13.630876541137695
223, 15,14.502821207046509
232, 12,10.314164400100708
250, 9,11.561574935913086
84, 15,11.728208541870117
231, 12,10.177629232406616
103, 14,13.45156717300415
124, 14,12.542796850204468
252, 13,14.995726823806763
253, 15,10.833270788192749
139, 14,12.389007091522217
192, 11,14.971585035324097
222, 10,11.690574407577515
90, 15,11.905455589294434
254, 15,12.852638959884644
93, 5,12.718518495559692
221, 13,14.010087251663208
159, 14,10.757639646530151
204, 6,11.626448154449463
200, 13,10.937157392501831
179, 5,12.28450083732605
152, 9,13.3008553981781
219, 14,10.841954708099365
117, 8,13.06895136833191
178, 5,14.03219985961914
203, 11,11.596311807632446
230, 12,10.000134706497192
107, 6,13.565064907073975
106, 11,12.400135040283203
135, 5,14.862815856933594
134, 10,10.591808080673218
217, 11,11.541754961013794
105, 14,14.570127010345459
133, 11,10.000134706497192
102, 14,14.980684518814087
86, 13,11.034388780593872
101, 7,12.310447692871094
202, 15,12.427121877670288
115, 12,13.515287637710571
131, 9,11.914031267166138
82, 7,13.634721517562866
130, 9,12.757355690002441
228, 11,12.84369969367981
116, 12,10.000134706497192
89, 7,13.106767654418945
149, 7,11.581109285354614
100, 9,11.961514472961426
148, 8,12.804830074310303
99, 5,10.046960592269897
214, 14,10.000134706497192
189, 7,10.000134706497192
120, 7,11.197848558425903
188, 8,10.076588869094849
98, 14,11.187444686889648
227, 10,13.300347805023193
85, 7,12.389007091522217
213, 6,14.429283380508423
119, 13,14.929856300354004
212, 9,10.531661748886108
128, 6,13.144602060317993
118, 11,11.460024356842041
168, 12,11.782933950424194
167, 14,12.598600387573242
88, 10,14.349661350250244
211, 5,12.708027124404907
186, 15,14.1766676902771
226, 10,10.000134706497192
97, 9,12.425296545028687
185, 6,11.000361442565918
184, 13,13.503056049346924
210, 12,12.830673217773438
165, 12,12.885869979858398
209, 5,11.830586433410645
164, 7,10.760600328445435
94, 14,11.181068420410156
32, 9,10.348183870315552
10, 15,11.722205877304077
81, 15,12.618428230285645
64, 14,10.613259077072144
31, 9,12.012761354446411
52, 12,11.64638614654541
63, 14,10.000134706497192
62, 15,12.25643277168274
80, 11,11.353536605834961
60, 12,14.061693906784058
51, 15,12.610175609588623
14, 9,10.000134706497192
79, 8,11.361048698425293
27, 8,11.868718385696411
26, 12,10.580189228057861
77, 13,11.48109745979309
40, 5,13.364051580429077
75, 9,11.70315670967102
74, 6,11.663838624954224
5, 13,13.314193964004517
59, 14,11.29701280593872
3, 9,12.377496242523193
24, 6,10.450424909591675
49, 7,11.96766996383667
48, 5,10.89292287826538
72, 15,11.639843702316284
23, 7,13.130201816558838
57, 14,12.30115032196045
6, 5,10.916451454162598
21, 5,12.431360960006714
20, 9,10.000134706497192
34, 14,14.842766284942627
69, 9,13.06895136833191
12, 14,13.735051155090332
68, 8,13.066264152526855
16, 6,10.857488632202148
55, 5,11.771583080291748
17, 7,10.217633485794067
67, 10,12.870216846466064
54, 9,10.000134706497192
33, 10,14.802070617675781
